当前比赛序号,当前主队,当前客队,历史比赛序号,历史比赛结果,历史PRO_最终预测结果,历史PRO_gap,历史PRO融合模型预测结果,历史PRO融合模型_gap,历史主队,历史客队,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,,parity,parity(严格）,,,,,,,,,,,,,,,,,,,
1,阿里卡老虎队,,1348,主胜,客胜,0.2642,主胜,0.0273,"整体大有
1-1-2是没有的
左边46 45 右边 1 1 没有
这种1-4-7有
40+7=46+1有
45+1=42+4有",,(8)14-6,(4)5-1,(2)3-1,,,,2,0,0,,,,,,,,,,,,,,,,,,,
1,阿里卡老虎队,,2145,客胜,客胜,0.4065,主胜,0.074,,,(4)1-5,(6)0-6,(3)0-3,,,,,0,0,,,,,,,,,,,,,,,,,,,
1,阿里卡老虎队,,58,客胜,客胜,0.4689,主胜,0.0148,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
1,阿里卡老虎队,,457,客胜,客胜,0.4537,主胜,0.0118,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
1,阿里卡老虎队,,399,客胜,客胜,0.4299,主胜,0.0428,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,"
这种单独的0-1-2是没有的！！！
1=0是没有的！",27,0,0,0,1,2,1,4,0,"0.26,0.18,0.08,0.19,0.35",0,"
","
","0.01,0.12,0.02,0.09,0.00",1,0.00|0.01|0.02,0.00|0.01|0.02,"3.00,3.00,3.10,2.88,2.90",1,2,,,,,,,,,
2,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,,30,0,0,0,1,2,1,4,0,"0.26,0.18,0.08,0.19,0.35",0,"
","
","0.01,0.12,0.02,0.09,0.00",1,0.00|0.01|0.02,0.00|0.01|0.02,"3.00,3.00,3.10,2.88,2.90",1,2,,,,,,,,,
2,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,,10,0,0,0,1,2,1,4,0,"0.26,0.18,0.08,0.19,0.35",0,"
","
","0.01,0.12,0.02,0.09,0.00",1,0.00|0.01|0.02,0.00|0.01|0.02,"3.00,3.00,3.10,2.88,2.90",1,2,,,,,,,,,
2,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,0,0,0,1,2,1,4,0,"0.26,0.18,0.08,0.19,0.35",0,"
","
","0.01,0.12,0.02,0.09,0.00",1,0.00|0.01|0.02,0.00|0.01|0.02,"3.00,3.00,3.10,2.88,2.90",1,2,,,,,,,,,
2,"
","
",85,客胜,主胜,0.3506,客胜,0.0024,,35,0,0,0,1,2,1,4,0,"0.26,0.18,0.08,0.19,0.35",0,"
","
","0.01,0.12,0.02,0.09,0.00",1,0.00|0.01|0.02,0.00|0.01|0.02,"3.00,3.00,3.10,2.88,2.90",1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,"
这种单独的1-5-9还是没有的
26+9=35有（需要正好是35）",27,0,0,0,0,0,0,0,0,"0.26,0.35,0.38,0.18,0.19",0,"
","
","0.01,0.00,0.05,0.12,0.09",1,0.01|0.05|0.09,0.01|0.05|0.09,"2.55,2.50,2.85,2.68,2.50",,,,,,,,,,,
3,"
","
",85,客胜,主胜,0.3506,客胜,0.0024,,35,0,0,0,0,0,0,0,0,"0.26,0.35,0.38,0.18,0.19",0,"
","
","0.01,0.00,0.05,0.12,0.09",1,0.01|0.05|0.09,0.01|0.05|0.09,"2.55,2.50,2.85,2.68,2.50",,,,,,,,,,,
3,"
","
",1406,客胜,主胜,0.3832,客胜,0.05,,38,0,0,0,0,0,0,0,0,"0.26,0.35,0.38,0.18,0.19",0,"
","
","0.01,0.00,0.05,0.12,0.09",1,0.01|0.05|0.09,0.01|0.05|0.09,"2.55,2.50,2.85,2.68,2.50",,,,,,,,,,,
3,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,,30,0,0,0,0,0,0,0,0,"0.26,0.35,0.38,0.18,0.19",0,"
","
","0.01,0.00,0.05,0.12,0.09",1,0.01|0.05|0.09,0.01|0.05|0.09,"2.55,2.50,2.85,2.68,2.50",,,,,,,,,,,
3,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,0,0,0,0,0,0,0,0,"0.26,0.35,0.38,0.18,0.19",0,"
","
","0.01,0.00,0.05,0.12,0.09",1,0.01|0.05|0.09,0.01|0.05|0.09,"2.55,2.50,2.85,2.68,2.50",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,"
18+1=19有 ",30,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
4,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
4,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,,10,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
4,"
","
",1510,客胜,主胜,0.0948,客胜,0.0819,,17,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
4,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,"
17-18-17是没有的
18+18=25+11有",42,0,0,0,0,1,1,2,0,"0.25,0.18,0.27,0.16,0.30",0,"
","
","0.17,0.18,0.17,0.30,0.11",0,,,,,,,,,,,,,,
5,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,,36,0,0,0,0,1,1,2,0,"0.25,0.18,0.27,0.16,0.30",0,"
","
","0.17,0.18,0.17,0.30,0.11",0,,,,,,,,,,,,,,
5,"
","
",228,客胜,客胜,0.2751,客胜,0.1761,,44,0,0,0,0,1,1,2,0,"0.25,0.18,0.27,0.16,0.30",0,"
","
","0.17,0.18,0.17,0.30,0.11",0,,,,,,,,,,,,,,
5,"
","
",1997,客胜,客胜,0.1686,客胜,0.3095,,46,0,0,0,0,1,1,2,0,"0.25,0.18,0.27,0.16,0.30",0,"
","
","0.17,0.18,0.17,0.30,0.11",0,,,,,,,,,,,,,,
