比赛编号,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,比赛结果
1,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
2,(7)0-7,(3)5-2,(3)2-5,(1)0-1,(2)0-2,(2)4-2,客胜
3,(5)0-5,(7)12-5,(5)12-7,(1)3-2,(1)5-4,(9)0-9,主胜
4,(3)0-3,(1)1-2,(2)0-2,(1)2-1,(2)1-3,(1)0-1,客胜
5,(2)4-2,(2)0-2,(9)11-2,(1)0-1,(3)1-4,(4)0-4,主胜
6,(5)7-2,(2)0-2,(4)6-2,(0)0-0,(0)0-0,(0)0-0,平局
7,(1)2-1,(0)3-3,(2)3-1,(1)3-2,(3)0-3,(4)0-4,主胜
8,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
9,(6)7-1,(3)8-5,(5)0-5,(1)4-3,(1)2-3,(4)1-5,客胜
10,(2)0-2,(1)0-1,(0)1-1,(0)1-1,(2)0-2,(4)0-4,客胜
11,(3)4-1,(7)4-11,(1)7-8,(2)3-1,(4)5-1,(2)5-3,主胜
12,(4)0-4,(5)0-5,(1)5-4,(2)0-2,(1)0-1,(1)2-1,客胜
13,(7)0-7,(2)7-5,(2)5-7,(1)0-1,(6)0-6,(2)4-2,平局
14,(1)1-2,(2)0-2,(1)1-2,(5)0-5,(5)0-5,(4)5-1,客胜
15,(4)6-2,(2)4-2,(1)4-5,(1)0-1,(1)0-1,(2)0-2,主胜
16,(3)5-2,(3)4-7,(4)4-8,(2)0-2,(3)0-3,(2)5-3,主胜
17,(2)4-2,(9)11-2,(5)8-3,(1)0-1,(1)0-1,(1)0-1,主胜
18,(1)1-2,(1)1-2,(1)1-2,(5)0-5,(5)0-5,(4)5-1,客胜
19,(7)0-7,(7)0-7,(4)0-4,(2)3-1,(1)3-2,(0)1-1,平局
20,(7)9-2,(3)4-7,(6)1-7,(1)2-3,(3)0-3,(7)0-7,主胜
21,(3)5-2,(1)4-5,(4)4-8,(2)0-2,(1)2-3,(2)5-3,主胜
22,(7)0-7,(0)0-0,(0)0-0,(4)0-4,(2)3-1,(0)1-1,平局
23,(2)0-2,(0)1-1,(4)1-5,(0)0-0,(1)0-1,(0)1-1,平局
24,(3)1-4,(1)5-4,(5)0-5,(3)0-3,(1)2-1,(1)0-1,客胜
25,(5)6-1,(5)1-6,(6)1-7,(1)1-2,(4)1-5,(3)5-8,客胜
26,(5)2-7,(8)9-1,(2)3-1,(1)0-1,(1)0-1,(0)1-1,主胜
27,(7)0-7,(4)0-4,(4)0-4,(4)0-4,(4)0-4,(1)0-1,平局
28,(10)3-13,(7)10-3,(8)10-2,(1)1-2,(4)1-5,(0)3-3,平局
29,(2)0-2,(0)0-0,(3)0-3,(1)0-1,(1)0-1,(0)0-0,客胜
30,(0)1-1,(1)1-2,(1)3-2,(6)7-1,(3)5-2,(4)5-1,平局
31,(3)5-2,(6)7-1,(2)5-3,(2)0-2,(5)0-5,(3)2-5,主胜
32,(4)5-9,(10)2-12,(2)5-7,(4)2-6,(5)8-3,(1)1-2,平局
33,(1)0-1,(0)1-1,(1)2-1,(1)0-1,(1)2-1,(1)2-1,客胜
34,(3)0-3,(3)0-3,(2)0-2,(3)1-4,(2)2-4,(0)2-2,主胜
35,(2)0-2,(2)4-2,(4)2-6,(1)0-1,(1)0-1,(1)0-1,主胜
36,(6)1-7,(1)3-4,(4)0-4,(0)3-3,(5)3-8,(6)5-11,客胜
37,(0)1-1,(3)5-2,(3)5-2,(6)1-7,(2)1-3,(1)2-3,客胜
38,(1)10-9,(7)8-1,(4)6-2,(8)1-9,(1)11-10,(13)4-17,客胜
39,(5)0-5,(4)9-5,(12)14-2,(1)3-2,(3)2-5,(3)2-5,主胜
40,(3)1-4,(1)0-1,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
41,(3)1-4,(1)0-1,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
42,(1)4-5,(4)1-5,(6)1-7,(1)2-3,(3)5-2,(7)0-7,主胜
